#,id,typ,icrs_ra_h,icrs_ra_m,icrs_ra_s,icrs_dec_d,icrs_dec_m,icrs_dec_s,fk5_ra_h,fk5_ra_m,fk5_ra_s,fk5_dec_d,fk5_dec_m,fk5_dec_s,fk4_ra_h,fk4_ra_m,fk4_ra_s,fk4_dec_d,fk4_dec_m,fk4_dec_s,gal_ra,gal_dec,pm_ra,pm_dec,plx,Umag,Bmag,Vmag,Rmag,Gmag,Imag,spec.type
3609,HD 208703,PM*,21,58,13.3082947896,-05,25,29.716576788,21,58,13.3097420314,-05,25,29.698648083,21,55,36.0777780063,-05,39,45.660720333,052.7602572369001,-43.4620959213187,41.333,-104.833,18.55,~,6.697,6.331,~,6.242,~,F2V
3610,* 30 Aqr,*,22,03,16.4581530360,-06,31,20.666466516,22,03,16.4595810927,-06,31,20.648818713,22,00,38.6977045648,-06,45,53.348953603,052.4129779710366,-45.1115934617218,45.517,8.126,10.76,~,6.512,5.543,~,5.297,~,K1IV
3611,* 44 Aqr,V*,22,17,06.4995852960,-05,23,13.795642284,22,17,06.5010240834,-05,23,13.778807076,22,14,29.9103412675,-05,38,15.221653406,056.5364917274427,-47.3453961281538,-4.654,18.750,9.25,~,6.622,5.751,~,5.521,~,G8/K0III
3612,HD 212320,*,22,23,32.1500037504,-07,11,39.884201448,22,23,32.1514088574,-07,11,39.867764837,22,20,54.8201018498,-07,26,52.643082892,055.6592174631180,-49.6862301078838,1.478,5.688,7.02,~,6.913,5.907,~,5.682,~,G8Ib/II(w)
3613,HD 214448,**,22,38,22.1458788936,-07,53,51.209864196,22,38,22.1472624235,-07,53,51.194396261,22,35,44.7894111974,-08,09,28.466832553,058.1041365582386,-53.1046588732456,73.853,-2.670,9.52,~,7.023,6.244,~,6.046,~,K0III+F2
3614,HD 213429,SB*,22,31,18.3282619654,-06,33,19.068890370,22,31,18.3296737661,-06,33,19.052952817,22,28,41.0714897892,-06,48,41.286011756,058.2111427923798,-50.8986986043037,145.605,-75.661,39.19,~,6.702,6.160,~,6.007,~,F8V
3615,* 67 Aqr,*,22,43,14.2632529104,-06,57,46.574389404,22,43,14.2646509120,-06,57,46.559253735,22,40,37.6281984985,-07,13,30.785375989,060.5633141774447,-53.5190595152405,25.615,-10.257,7.86,~,6.368,6.405,~,6.398,~,B7.5V
3616,* 78 Aqr,*,22,54,34.1217841656,-07,12,16.649036964,22,54,34.1231715135,-07,12,16.634700778,22,51,57.9315641307,-07,28,15.045928849,063.2520730801882,-55.8746978319035,-14.811,-34.596,5.44,~,7.467,6.181,~,5.821,~,K2III
3617,* lam Aqr,LP*,22,52,36.8740445376,-07,34,46.548925356,22,52,36.8754256410,-07,34,46.534448736,22,50,00.3816814859,-07,50,45.821847957,062.1917780139248,-55.7325517735542,14.964,32.742,8.94,7.20,5.44,3.79,2.37,2.860,1.18,M2.5IIIFe-0.5
3618,* 81 Aqr,*,23,01,23.6415625392,-07,03,40.152599388,23,01,23.6429492254,-07,03,40.138761816,22,58,47.7461690597,-07,19,48.018273283,065.4236832870684,-57.0786081010935,-16.047,-8.120,7.13,~,7.678,6.215,~,5.735,~,K4III
3619,* 82 Aqr,V*,23,02,32.5566771888,-06,34,26.441616180,23,02,32.5580730894,-06,34,26.427863735,22,59,56.8180384710,-06,50,34.295823240,066.4419756127192,-56.9716657079459,-6.967,-34.042,3.39,~,7.77,6.20,~,5.386,~,M1III
3620,* 83 Aqr,**,23,05,09.78684,-07,41,37.6853,23,05,09.78821,-07,41,37.6718,23,02,33.37786,-07,57,50.4361,065.67324269,-58.19915834,122.41,7.11,15.57,~,5.79,5.47,~,~,~,F0V
3621,* phi Aqr,SB*,23,14,19.3582404192,-06,02,56.423128812,23,14,19.3596420115,-06,02,56.410268988,23,11,43.9943302611,-06,19,07.984574109,070.9402544256574,-58.7384702922056,36.575,-195.441,14.35,7.64,5.77,4.22,2.94,3.454,1.86,M1.5III
3622,* chi Aqr,LP*,23,16,50.9391613,-07,43,35.402266,23,16,50.9405266,-07,43,35.389602,23,14,15.4573540,-07,59,58.229662,069.4452222317,-60.3612649985,-19.18,-14.10,5.32,8.26,6.66,5.06,~,3.627,~,M3III
3623,HD 220035,PM*,23,20,40.8869039784,-05,54,28.690199136,23,20,40.8883060938,-05,54,28.677835416,23,18,06.2189635766,-06,10,52.412334402,073.3592035940294,-59.7330697404483,-103.410,-58.006,8.24,~,7.255,6.172,~,5.862,~,G8IV/V
3624,HD 221308,*,23,31,01.1420538840,-06,17,17.085714504,23,31,01.1434439627,-06,17,17.074177446,23,28,26.4159032092,-06,33,49.221689460,076.7751986427425,-61.7235501362980,-9.385,-28.994,2.84,~,7.654,6.391,~,6.027,~,K1III
3625,HD 221835,*,23,35,32.0719161072,-07,27,51.947585460,23,35,32.0732784113,-07,27,51.936416956,23,32,57.3065401777,-07,44,28.798113094,076.9851304110038,-63.3454247621172,-0.307,17.008,5.98,~,7.301,6.407,~,6.185,~,G6/8III
3626,HD 223311,V*,23,48,32.4794141016,-06,22,49.524743316,23,48,32.4807959935,-06,22,49.514660146,23,45,58.2916181096,-06,39,29.305792135,084.3250138444443,-64.4287806246572,-0.445,-19.754,3.48,~,7.526,6.069,~,5.574,~,K2/3III
3627,* 30 Psc,LP?,00,01,57.6194717328,-06,00,50.654004048,00,01,57.6208580903,-06,00,50.645074596,23,59,23.7197732091,-06,17,30.943348256,091.5825468307651,-65.8277666074689,46.941,-40.471,7.88,7.88,6.04,4.41,2.85,3.293,1.44,M3III
3628,* 33 Psc,RS*,00,05,20.14193,-05,42,27.4279,00,05,20.14332,-05,42,27.4192,00,02,46.52165,-05,59,13.9793,093.75431011,-65.93273635,-6.54,87.85,25.32,6.52,5.65,4.61,3.83,4.183,3.29,K0III-IV
3629,V* AD Cet,LP?,00,14,27.6290894,-07,46,49.898505,00,14,27.6304299,-07,46,49.890678,00,11,54.1902147,-08,03,30.788983,096.8690528576,-68.7602573973,62.62,4.37,5.60,8.55,6.74,5.12,~,4.087,~,M3+III
3630,HD 1461,PM*,00,18,41.8676757921,-08,03,10.803829898,00,18,41.8690083857,-08,03,10.796381900,00,16,07.4292334914,-08,19,43.052865060,099.3026606874168,-69.4088171332426,417.579,-143.900,42.73,~,7.14,6.46,~,6.307,~,G3VFe0.5
3631,HD 5384,*,00,55,42.4001599992,-07,20,49.735392864,00,55,42.4015018079,-07,20,49.731349893,00,53,10.7325251872,-07,37,01.687435292,126.0568525540293,-70.1929913458935,-7.641,-44.637,5.60,~,7.381,5.850,~,5.280,~,K5III
3632,* 37 Cet,**,01,14,24.0406960100,-07,55,22.172965574,01,14,24.0420207620,-07,55,22.170688238,01,11,52.8342283660,-08,11,27.806771923,139.8022641012581,-70.0388541260230,124.225,278.007,41.57,~,5.59,5.13,~,5.017,~,F5V
3633,HD 8556,SB*,01,24,20.5021369,-06,54,52.773474,01,24,20.5034870,-06,54,52.772143,01,21,49.5764075,-07,10,30.161289,145.5532229438,-68.3292278345,29.35,3.96,21.44,~,6.319,5.918,~,5.816,~,F4V
3634,HD 9562,PM*,01,33,42.8357181696,-07,01,31.238801760,01,33,42.8370650994,-07,01,31.238364314,01,31,11.7859606297,-07,16,48.995304905,151.3783452659995,-67.5317226851317,174.613,-82.577,33.58,6.61,6.40,5.76,~,5.601,~,G1V
3635,HD 10824,*,01,45,59.2598412672,-05,43,59.878345764,01,45,59.2612215527,-05,43,59.879080023,01,43,28.5655537245,-05,58,57.900713589,156.6139537067970,-64.9748465430255,-10.222,-29.187,5.56,~,6.86,5.34,~,4.780,~,K5III
3636,HD 11365,*,01,51,37.8001482720,-06,52,26.902290396,01,51,37.8014993705,-06,52,26.903562794,01,49,07.8307751896,-07,07,14.820395980,160.8696736699873,-65.2122174069849,4.610,-7.998,5.54,~,7.67,6.41,~,6.045,~,K1III
3637,* 67 Cet,PM*,02,16,59.0434344864,-06,25,19.621420896,02,16,59.0447992866,-06,25,19.625097249,02,14,29.2580225764,-06,39,05.895834098,171.2747852399504,-60.9867444585309,91.990,-107.163,10.05,~,6.465,5.499,~,5.250,~,G8.5IIIb
3638,* 20 Aqr,PM*,21,24,51.6752187480,-03,23,54.082320324,21,24,51.6767065710,-03,23,54.062761555,21,22,15.3370433802,-03,36,49.305869814,049.2857879632270,-35.3335097138608,-6.189,-49.752,15.27,~,6.711,6.375,~,6.316,~,F0V
3639,* 21 Aqr,PM*,21,25,16.9576764168,-03,33,24.286805352,21,25,16.9591622759,-03,33,24.267264657,21,22,40.5287256634,-03,46,19.630525014,049.1862127379883,-35.5054371849491,-12.172,-70.551,7.47,~,6.938,5.469,~,4.953,~,K4III
3640,HD 205423,*,21,35,17.6204922456,-03,58,59.897051112,21,35,17.6219692781,-03,58,59.877959090,21,32,41.0311816106,-04,12,25.321988053,050.3541166937412,-37.8595305032473,-9.703,-4.972,5.82,~,6.888,5.778,~,5.489,~,K1/2III
3641,HD 208177,*,21,54,35.9146357896,-03,18,04.584585384,21,54,35.9161153102,-03,18,04.566460598,21,51,59.9559064346,-03,32,15.887854737,054.4916326132297,-41.5394169746347,26.272,-33.683,13.77,~,6.70,6.23,~,6.140,~,F6/7V
3642,HD 208111,PM*,21,54,10.3727585232,-04,16,34.233218436,21,54,10.3742242431,-04,16,34.215070908,21,51,33.7095373095,-04,30,41.560786605,053.3242659417284,-41.9906208757397,55.258,-93.393,11.20,~,6.901,5.704,~,5.386,~,A2IV
3643,HD 208801,PM*,21,58,54.9854214456,-04,22,23.191421052,21,58,54.9868838772,-04,22,23.173530452,21,56,18.5485307992,-04,36,33.277147106,054.0985368714430,-43.0308119065590,-2.327,-253.281,26.75,~,7.22,6.22,~,5.955,~,G8/K0III
3644,HD 210419,*,22,10,21.1079251,-03,53,38.713233,22,10,21.1093906,-03,53,38.695993,22,07,45.0968946,-04,08,23.597634,056.8970974681,-45.1090131422,16.12,-44.80,6.75,~,6.267,6.282,~,6.257,~,A0V
3645,HD 210434,PM*,22,10,33.7470786144,-04,16,00.678794592,22,10,33.7485381735,-04,16,00.661567057,22,07,57.3541896008,-04,30,48.390756060,056.5078917247479,-45.3670925196644,70.600,3.340,10.40,~,6.959,5.980,~,5.750,~,G8/K0III
3646,HD 210763,SB*,22,12,43.8684398448,-04,43,14.441314404,22,12,43.8698913414,-04,43,14.424215308,22,10,07.6635027653,-04,58,04.629801919,056.4206367442376,-46.0702205100354,-45.352,-34.702,10.62,~,6.85,6.41,~,6.275,~,F5V
3647,* 51 Aqr,**,22,24,06.8843328,-04,50,13.269259,22,24,06.8857777,-04,50,13.252859,22,21,30.6340626,-05,05,26.424723,058.7220753584,-48.4404879086,26.90,-7.35,8.04,~,5.752,5.779,~,5.819,~,B9.5V
3648,HD 213428,SB*,22,31,18.4181515080,-02,54,40.554262476,22,31,18.4196273404,-02,54,40.538325020,22,28,43.3169004184,-03,10,04.606543115,062.6831978713221,-48.6738080128277,-8.389,-39.396,8.54,~,7.241,6.139,~,5.869,~,K0III
3649,HD 214810,**,22,40,47.9728007472,-03,33,15.510163068,22,40,47.9742626456,-03,33,15.494860139,22,38,12.7687382012,-03,48,54.635975605,064.2704980470511,-50.9049384102145,-14.154,-39.690,28.95,~,6.83,6.31,~,6.577,~,G9VFe-0.7
3650,* kap Aqr,PM*,22,37,45.3804916,-04,13,40.993883,22,37,45.3819422,-04,13,40.978374,22,35,10.0260265,-04,29,11.462616,062.6817298388,-50.7530839316,-69.23,-119.67,15.25,~,6.174,5.030,~,4.683,~,K1.5IIIbCN0.5
3651,HD 216718,**,22,55,10.9616331648,-04,59,16.449139284,22,55,10.9630634210,-04,59,16.434847439,22,52,35.4026936183,-05,15,17.095846301,066.3792837344695,-54.5497963631526,25.543,-4.823,11.22,~,6.626,5.757,~,5.669,~,K1III
3652,HD 216953,*,22,57,17.1943653480,-04,48,36.340607520,22,57,17.1957983255,-04,48,36.326468386,22,54,41.8982313769,-05,04,39.742681738,067.2154618883798,-54.8192310273951,-19.974,-1.326,7.57,~,7.272,6.313,~,6.061,~,K0III
3653,HD 217563,*,23,01,31.7091399408,-04,42,41.253528996,23,01,31.7105734261,-04,42,41.239701371,22,58,56.4396495123,-04,58,50.084910515,068.6030966002233,-55.5253676826715,11.849,8.305,3.10,~,6.920,5.933,~,5.678,~,G5II/III
3654,HD 219402,*,23,15,34.2574251888,-03,29,46.962267252,23,15,34.2588794564,-03,29,46.949504051,23,12,59.6919549964,-03,46,09.270673847,074.6614331514921,-57.0925461402419,-12.906,-2.299,13.44,~,5.61,5.55,~,5.553,5.49,A2V
3655,HD 221356,PM*,23,31,31.5027738192,-04,05,14.650543968,23,31,31.5042117857,-04,05,14.639047990,23,28,56.5019459470,-04,21,38.916707655,079.8191247857178,-60.0894664354768,178.130,-191.845,38.71,~,7.03,6.49,~,6.363,~,F7V
3656,HD 221148,PM*,23,29,32.0817754272,-04,31,57.892874556,23,29,32.0832042223,-04,31,57.881217317,23,26,56.9637463177,-04,48,19.040049201,078.4840394106904,-60.1333537217006,178.760,-230.960,21.98,~,7.34,6.25,~,5.970,~,K3-IIIbFe2
3657,* 24 Psc,**,23,52,55.5631886976,-03,09,19.733599044,23,52,55.5646432931,-03,09,19.723889246,23,50,21.4080828322,-03,25,59.246020281,090.1499741647203,-62.2434422478674,75.014,-42.411,6.14,~,7.023,5.940,~,5.627,~,K0II/III
3658,* 27 Psc,**,23,58,40.3770768,-03,33,21.537918,23,58,40.3785212,-03,33,21.528703,23,56,06.7549585,-03,50,00.171836,092.5116166264,-63.2677321430,-57.13,-72.08,13.91,~,5.814,4.886,~,4.536,~,G8III
3659,HD 587,*,00,10,18.8712067968,-05,14,54.916966860,00,10,18.8726092090,-05,14,54.908771385,00,07,45.2315925474,-05,31,34.984430950,096.9923788002780,-66.0273500323566,37.379,-29.357,17.07,~,6.828,5.844,~,5.584,~,K0III
3660,* 29 Psc,V*,00,01,49.4481127032,-03,01,39.011820024,00,01,49.4495689505,-03,01,39.002878703,23,59,15.6335328007,-03,18,20.792531017,094.5931674455525,-63.1364210951315,17.905,-10.329,7.58,4.47,4.98,5.10,~,5.090,~,B7III-IV
3661,* 12 Cet,*,00,30,02.3584197912,-03,57,26.377933896,00,30,02.3598499833,-03,57,26.371512809,00,27,29.1647817494,-04,14,00.180391642,109.5673713165844,-66.2722526044847,9.474,-12.464,5.77,9.19,7.28,5.72,~,5.060,~,K5III
3662,* 13 Cet,RS*,00,35,14.87968,-03,35,34.2367,00,35,14.88112,-03,35,34.2307,00,32,40.39847,-03,52,03.8059,112.89922080,-66.14871874,408.34,-35.22,47.05,~,5.748,5.201,~,4.953,~,F7V+G4V
3663,HD 3807,*,00,40,42.3716096304,-04,21,06.625019376,00,40,42.3730287687,-04,21,06.619578509,00,38,09.5635931659,-04,37,33.423098799,116.0486354636647,-67.0800521497703,-16.044,-14.285,5.26,~,6.985,5.885,~,5.582,~,K0III
3664,HD 4301,PM*,00,45,24.1250872848,-04,37,44.974889004,00,45,24.1264989641,-04,37,44.969883522,00,42,51.3157221122,-04,54,10.564313715,119.0065319824580,-67.4548925176372,34.737,35.937,3.48,~,7.82,6.16,~,5.427,~,K5III
3665,* 25 Cet,PM*,01,03,02.5369500840,-04,50,11.757188544,01,03,02.5383547711,-04,50,11.753835858,01,00,30.7166530083,-05,06,12.747603795,130.5166434107885,-67.5372949892543,-116.585,-102.608,9.51,~,6.517,5.408,~,5.079,~,K0/1III
3666,HD 8120,*,01,20,34.5720064776,-03,14,49.169525208,01,20,34.5734506319,-03,14,49.167835053,01,18,02.1594029762,-03,30,32.248288918,140.4457161857870,-65.1232120325101,-1.641,3.609,7.88,~,7.250,6.246,~,5.989,~,K0III
3667,HD 8599,*,01,24,48.6810131808,-02,50,54.923347716,01,24,48.6824673859,-02,50,54.922060983,01,22,16.1281425227,-03,06,29.994822727,142.5598963815117,-64.4410048666472,11.033,-27.695,13.49,~,7.132,6.164,~,5.909,~,K0III
3668,HD 9690,*,01,34,51.3184861704,-03,31,25.990700412,01,34,51.3199230129,-03,31,25.990371926,01,32,19.2136577556,-03,46,44.303627964,148.5330695819066,-64.2159117164326,13.051,-31.778,3.60,~,7.79,6.43,~,6.015,~,K2III
3669,HD 10024,*,01,37,52.0685046840,-03,26,26.443522068,01,37,52.0699436429,-03,26,26.443481197,01,35,19.9322456554,-03,41,40.505592798,150.0343537702352,-63.8419543637852,25.909,-10.597,4.22,~,8.02,6.44,~,5.716,~,M0III
3670,HD 10550,V*,01,42,43.5115527552,-03,41,24.718341768,01,42,43.5129853539,-03,41,24.718764644,01,40,11.6994614615,-03,56,28.738225161,152.7498004334526,-63.5527446536314,-9.745,-33.429,3.10,~,6.366,4.982,~,4.583,~,K2/3IIICNII
3671,HD 10658,*,01,43,54.7960892472,-04,45,55.851578964,01,43,54.7974943360,-04,45,55.852115248,01,41,23.5978894204,-05,00,57.787106899,154.4661125830966,-64.3753447502281,-23.701,-30.274,3.69,~,7.725,6.190,~,5.614,~,K4III
3672,HD 12642,PM*,02,03,40.4889439392,-04,06,12.653704296,02,03,40.4903665891,-04,06,12.656122478,02,01,09.2229416147,-04,20,32.299003070,162.9146004383029,-61.2354535197023,7.725,-61.342,6.07,~,7.189,5.609,~,4.919,~,M1IIICa1
3673,* 66 Cet,SB*,02,12,47.5413483242,-02,23,37.066624087,02,12,47.5428147011,-02,23,37.069905321,02,10,14.1220261531,-02,37,35.429784344,164.6135693330429,-58.5194561956973,377.146,-68.623,26.54,~,6.21,5.66,~,5.544,~,F8V
3674,* 71 Cet,V*,02,24,58.3888612344,-02,46,48.101665764,02,24,58.3903185278,-02,46,48.106091672,02,22,26.6083955656,-03,00,19.378495253,169.5321637771342,-56.9342559635629,3.555,-7.366,4.79,~,6.322,6.335,~,6.328,~,B9.5III/IV
3675,HD 14417,*,02,19,40.7768823216,-04,20,44.057308956,02,19,40.7782999362,-04,20,44.061238757,02,17,09.8832938514,-04,34,29.258077400,169.5482253536836,-58.9825047357345,30.942,3.969,8.41,~,6.570,6.491,~,6.489,~,A2V
3676,* 81 Cet,PM*,02,37,41.8020809760,-03,23,46.225928328,02,37,41.8035239635,-03,23,46.231536517,02,35,10.4946582505,-03,36,41.816000422,174.4865167693160,-55.2499391637220,41.765,-43.379,9.52,~,6.674,5.647,~,5.378,~,K0III
3677,HD 16824,*,02,41,48.3272388408,-03,12,49.691471328,02,41,48.3286867205,-03,12,49.697457788,02,39,17.1094045995,-03,25,35.441607970,175.5295318496345,-54.3991252885335,-9.490,-10.867,3.85,~,7.254,6.049,~,5.743,~,K0III
3678,HD 17001,*,02,43,28.9169929152,-02,31,53.129894088,02,43,28.9184576790,-02,31,53.136034348,02,40,57.0709583232,-02,44,34.781318907,175.2134548367161,-53.6204307026939,29.683,1.798,6.27,~,7.46,6.48,~,6.232,~,G8IV
3679,HD 18543,PM*,02,58,42.0755003544,-02,46,58.429450200,02,58,42.0769604299,-02,46,58.436970629,02,56,10.7574831954,-02,58,51.884404406,179.7908951568996,-51.0332983921943,-23.129,-63.423,8.94,~,5.23,5.23,~,5.215,~,A0V
3680,* 5 Eri,V*,02,59,41.1602407728,-02,27,53.842132764,02,59,41.1617085595,-02,27,53.849741418,02,57,09.5275700182,-02,39,46.320888442,179.6751254091702,-50.6380497818660,-3.899,-22.759,8.61,~,5.48,5.55,~,5.536,~,B9V
3681,HD 18331,PM*,02,56,37.4241380520,-03,42,44.358934572,02,56,37.4255755418,-03,42,44.366268419,02,54,06.8823537619,-03,54,45.076329975,180.3572667308905,-52.0375984249741,-36.264,-44.305,15.56,5.280,5.250,5.160,~,5.137,~,A1V
3682,HD 200340,*,21,02,59.6268402552,-00,55,29.081764956,21,02,59.6283584166,-00,55,29.061360365,21,00,24.9878125937,-01,07,23.121301387,048.4549420622408,-29.3781269296152,6.895,1.355,2.51,~,6.383,6.488,~,6.476,~,B8III
3683,HD 202554,*,21,16,39.4713094200,-01,36,27.963022788,21,16,39.4728190479,-01,36,27.943125413,21,14,04.3184821638,-01,49,01.800858691,049.8420758576516,-32.6518701258332,18.301,-15.372,5.56,~,7.457,6.479,~,6.244,~,K0III
3684,M 2,GlC,21,33,27.02,-00,49,23.7,21,33,27.02,-00,49,23.7,21,30,52.58,-01,02,44.5,053.37088,-35.76976,3.51,-2.16,0.06,~,~,6.25,~,~,~,~
3685,HD 205765,*,21,37,33.7626010968,-00,23,26.022510132,21,37,33.7641228190,-00,23,26.003524899,21,34,59.7137019347,-00,36,56.188110454,054.5235558395203,-36.3830920441383,-21.305,-28.242,8.87,~,6.274,6.214,~,6.215,~,A0V
3686,* 32 Aqr,SB*,22,04,47.4224193480,-00,54,22.839762708,22,04,47.4239322473,-00,54,22.822200872,22,02,13.1284269418,-01,08,56.246414480,059.0963564453001,-42.2233441579327,-18.901,-43.132,14.16,~,5.519,5.271,~,5.249,~,A5IV
3687,* omi Aqr,Be*,22,03,18.8440292,-02,09,19.306758,22,03,18.8455234,-02,09,19.289112,22,00,43.6800852,-02,23,51.138999,057.4374665005,-42.6680437944,24.66,-11.16,7.49,4.22,4.64,4.69,4.70,4.622,4.74,B5V
3688,* alf Aqr,*,22,05,47.0359315,-00,19,11.456766,22,05,47.0374533,-00,19,11.439261,22,03,12.9526399,-00,33,48.655964,059.9287550718,-42.0660105309,18.25,-9.39,6.23,4.65,3.90,2.94,2.27,2.552,1.76,G2Ib
3689,HD 211575,**,22,18,04.2721100256,-00,14,15.557994096,22,18,04.2736328074,-00,14,15.541217765,22,15,30.4552675292,-00,29,15.190948408,062.6393710404166,-44.4210298497814,-41.947,-54.370,23.98,~,6.817,6.379,~,6.289,~,F3V
3690,HD 211356,*,22,16,33.6544567896,-01,35,47.004315036,22,16,33.6559575597,-01,35,46.987446488,22,13,59.0932171126,-01,50,45.995365038,060.8159370844049,-44.9767941356173,-29.267,-9.194,13.36,~,6.338,6.143,~,6.126,~,A3II/III
3691,* zet02 Aqr,**,22,28,49.8888105229,-00,01,11.872738417,22,28,49.8903368453,-00,01,11.856639939,22,26,15.4461112793,-00,16,35.338370392,065.3543677843057,-46.3310855502502,180.832,33.072,34.51,4.03,4.79,4.34,3.27,4.203,3.04,F2IV/V
3692,* zet01 Aqr,PM*,22,28,49.8864208040,-00,01,13.961900362,22,28,49.8879471164,-00,01,13.945801882,22,26,15.2986141636,-00,16,37.039507488,065.3537268695851,-46.3314610881332,224.295,25.396,34.45,~,4.89,4.49,~,4.421,~,F2IV/V
3693,* zet Aqr,**,22,28,49.90685,-00,01,11.7942,22,28,49.90837,-00,01,11.7782,22,26,15.45709,-00,16,36.1246,065.35446334,-46.33112762,182.92,50.36,35.50,~,4.06,3.65,~,~,~,F3III-IV
3694,* gam Aqr,PM*,22,21,39.3715681296,-01,23,14.457098796,22,21,39.3730716923,-01,23,14.440544269,22,19,04.4077848035,-01,38,24.062059351,062.1795450371051,-45.8421758536140,134.223,11.219,25.86,3.65,3.791,3.834,~,3.849,~,A0V
3695,* 60 Aqr,PM*,22,34,02.9137004280,-01,34,27.362001144,22,34,02.9151992755,-01,34,27.346244188,22,31,28.2642518817,-01,49,56.079299746,064.8923899810762,-48.3357202123713,41.931,-36.468,8.74,~,6.860,5.875,~,5.626,~,K0III
3696,HD 217131,PM*,22,58,23.6608197792,-01,24,36.745270380,22,58,23.6623189256,-01,24,36.731212133,22,55,49.1223343882,-01,40,41.231834283,071.6604148444779,-52.6445476050456,84.252,-5.846,10.73,~,6.711,6.374,~,6.288,~,F2V
3697,HD 217107,**,22,58,15.5408995872,-02,23,43.383234768,22,58,15.5423795131,-02,23,43.369166622,22,55,40.9926924688,-02,39,47.257663538,070.4741358960559,-53.3240425450893,-6.819,-15.040,49.78,~,6.919,6.163,~,5.997,~,G8IV/V
3698,* 13 Psc,*,23,31,57.5668055688,-01,05,09.224483748,23,31,57.5683086803,-01,05,09.213023082,23,29,23.5892538440,-01,21,44.175816635,083.4087560668691,-57.7252155231257,8.695,17.164,4.41,~,7.584,6.384,~,6.050,~,K0III
3699,* 14 Psc,PM*,23,34,09.0149355936,-01,14,51.220689108,23,34,09.0164350394,-01,14,51.209407152,23,31,34.7010430754,-01,31,25.796592934,084.0905912952897,-58.1668597891190,107.013,-13.851,14.54,~,6.193,5.870,~,5.848,~,A2II
3700,* 11 Psc,*,23,29,26.9869226856,-01,47,28.370284368,23,29,26.9884107533,-01,47,28.358620269,23,26,52.9579775485,-02,03,59.884209431,081.6821793990743,-57.9395763982795,-14.757,-22.461,3.22,~,7.48,6.34,~,6.053,~,K0III
3701,* 20 Psc,PM*,23,47,56.5419212784,-02,45,41.752306188,23,47,56.5433855790,-02,45,41.742172298,23,45,22.2624680524,-03,02,22.612829817,088.2760910066045,-61.2854996237949,95.147,5.247,10.85,~,6.433,5.490,~,5.251,~,K0III
3702,* 4 Cet,V*,00,07,44.1111674208,-02,32,55.248548028,00,07,44.1126341570,-02,32,55.240124732,00,05,10.3470215730,-02,49,37.247934207,098.0203356851575,-63.2868670598102,26.822,1.978,4.57,5.82,6.29,6.43,~,6.411,~,ApSi
3703,HD 6,PM*,00,05,03.8227507152,-00,30,10.928616408,00,05,03.8242656191,-00,30,10.919958278,00,02,29.9210916870,-00,46,50.398113582,098.3277455059774,-61.1398140395086,45.245,-53.594,6.93,~,7.390,6.298,~,6.026,~,K0III
3704,* 5 Cet,EB*,00,08,12.0955513656,-02,26,51.740585628,00,08,12.0970204304,-02,26,51.732203450,00,05,38.4018371263,-02,43,33.394724929,098.3442738632467,-63.2366230557732,6.577,-3.723,2.77,~,7.58,6.22,~,5.655,~,K2IIICNIVp
3705,HD 2023,PM*,00,24,29.6495706120,-02,13,08.626882188,00,24,29.6510436569,-02,13,08.619956897,00,21,56.2789804406,-02,29,43.708295424,107.2699052576335,-64.2684035682858,-33.749,-41.552,5.84,~,7.285,6.067,~,5.720,~,K2III
3706,* 10 Cet,**,00,26,37.4150592,-00,02,58.312256,00,26,37.4165847,-00,02,58.305524,00,24,03.4397984,-00,19,34.580689,109.5019472878,-62.2724912699,71.52,2.06,7.23,~,7.109,6.192,~,5.936,~,G6IIIFe-1
3707,* 14 Cet,PM*,00,35,32.8334053776,-00,30,20.198722752,00,35,32.8349196502,-00,30,20.192806205,00,32,58.7075430163,-00,46,48.195266851,114.1223985785514,-63.1052335504589,143.173,-62.295,17.42,~,6.368,5.936,~,5.828,~,F5V
3708,* 20 Cet,*,00,53,00.4945225,-01,08,39.331693,00,53,00.4960206,-01,08,39.327397,00,50,27.0468226,-01,24,55.420085,123.8277502019,-64.0132749525,6.99,-15.66,5.56,8.24,6.34,4.76,3.55,4.052,2.64,K5III
3709,* 39 Cet,RS*,01,16,36.2879453688,-02,30,01.328624496,01,16,36.2894086187,-02,30,01.326556565,01,14,03.8578779584,-02,45,46.782941235,137.7459352482528,-64.6458086451034,-100.333,-63.689,13.36,~,6.310,5.428,~,5.281,~,G6III:eFe-2
3710,* 38 Cet,PM*,01,14,49.1725004760,-00,58,25.659970248,01,14,49.1740024767,-00,58,25.657732691,01,12,15.8716495856,-01,14,27.065578723,136.0078772212937,-63.2503923340255,-14.263,205.414,23.54,~,6.12,5.69,~,5.582,~,F3V
3711,* 34 Cet,PM*,01,11,43.5081366480,-02,15,03.880880496,01,11,43.5096063559,-02,15,03.878349253,01,09,10.7904242667,-02,30,58.105284719,134.8400268558314,-64.6527459013438,-59.156,-21.815,5.62,~,7.345,5.918,~,5.440,~,K3III
3712,* 42 Cet,**,01,19,48.29589,-00,30,32.5134,01,19,48.29741,-00,30,32.5117,01,17,14.76969,-00,46,15.8002,138.45148097,-62.52293341,6.35,-14.96,9.93,~,6.51,5.87,~,~,~,G8IV+A(8)
