#,id,typ,icrs_ra_h,icrs_ra_m,icrs_ra_s,icrs_dec_d,icrs_dec_m,icrs_dec_s,fk5_ra_h,fk5_ra_m,fk5_ra_s,fk5_dec_d,fk5_dec_m,fk5_dec_s,fk4_ra_h,fk4_ra_m,fk4_ra_s,fk4_dec_d,fk4_dec_m,fk4_dec_s,gal_ra,gal_dec,pm_ra,pm_dec,plx,Umag,Bmag,Vmag,Rmag,Gmag,Imag,spec.type
2747,HD 58526,*,07,25,51.1999347000,-05,46,29.862957504,07,25,51.2014533608,-05,46,29.884807219,07,23,23.7225340893,-05,40,28.055958550,222.0236370470785,+04.9672528469608,-3.631,-2.490,1.73,~,6.895,5.962,~,5.754,~,G3Ib
2748,HD 59380,SB*,07,29,25.6609863875,-07,33,04.450065996,07,29,25.6625055732,-07,33,04.471931573,07,26,59.9309148582,-07,26,55.526163741,224.0159752120060,+04.9137263713074,43.969,146.958,33.63,~,6.327,5.853,~,5.747,~,F6V
2749,HD 57682,*,07,22,02.0546074728,-08,58,45.766323408,07,22,02.0561177972,-08,58,45.788150304,07,19,38.1402970519,-08,53,00.244300435,224.4143783674068,+02.6274158003060,9.659,13.159,0.90,5.20,6.24,6.43,~,6.375,~,O9.2IV
2750,HD 59381,V*,07,29,22.1075281680,-10,19,36.000227748,07,29,22.1090444832,-10,19,36.022093105,07,26,59.6139662533,-10,13,19.655955596,226.4588735983534,+03.5838733700976,-4.816,-3.887,2.63,~,7.311,5.706,~,5.113,~,K4/5III
2751,BD-11 1951,**,07,27,51.66072,-11,33,24.7075,07,27,51.66223,-11,33,24.7294,07,25,30.57519,-11,27,14.6115,227.36634422,+02.67324021,-3.28,-0.32,2.06,~,6.406,5.868,~,~,~,F8III+B3V
2752,HD 57478,*,07,20,58.2849964992,-14,21,37.764717732,07,20,58.2864949603,-14,21,37.786537199,07,18,40.6135176917,-14,15,55.706443574,229.0432096537764,-00.1316131623619,-11.702,-0.449,5.36,~,6.544,5.584,~,5.332,~,G8/K0III
2753,HD 58461,PM*,07,25,08.3153856744,-13,45,07.117163244,07,25,08.3168918561,-13,45,07.139009150,07,22,50.4847455603,-13,39,07.968049293,228.9838288636363,+01.0465469889903,-202.889,-0.468,26.81,~,6.20,5.78,~,5.677,~,F5VFe-0.8CH-0.5
2754,V* R CMa,EB*,07,19,28.1785241208,-16,23,42.895279824,07,19,28.1800155692,-16,23,42.917087994,07,17,12.3315578789,-16,18,00.054680459,230.6703799426145,-01.4060437795820,165.693,-138.852,23.16,6.09,6.05,5.70,~,5.620,~,F2III/IV
2755,V* NR CMa,dS*,07,27,07.99004,-17,51,53.5012,07,27,07.99154,-17,51,53.5230,07,24,54.23935,-17,45,46.1979,232.83065206,-00.48612287,-2.52,1.45,10.83,~,5.923,5.625,~,~,~,F2V
2756,HD 58343,Be*,07,24,40.1873324160,-16,12,05.302248804,07,24,40.1888338969,-16,12,05.324092096,07,22,24.5486446222,-16,06,07.000619033,231.0871927664377,-00.2140554208953,-4.986,-20.734,3.28,4.52,5.15,5.19,5.05,5.153,5.06,B2Vne
