RA - Decimal,Dec - Decimal,Prop.motion RA,Prop.motion Dec,Mag V ,Red,Green,Blue,identifier             
21.4539644621,60.2352840297,296.5700000000,-49.2200000000,2.68,0.7260,0.7762,1.0000,* del Cas
208.6711621667,18.3977207222,-60.9500000000,-356.2900000000,2.68,1.0000,0.9019,0.8473,* eta Boo
224.6330223333,-43.1339638611,-35.7800000000,-39.8300000000,2.68,0.4799,0.5868,1.0000,* bet Lup
74.2484212029,33.1660995775,6.7900000000,-14.8800000000,2.69,1.0000,0.7872,0.5797,* iot Aur
161.6924115417,-49.4202567778,63.2200000000,-54.2100000000,2.69,0.8000,0.8000,0.8000,* mu. Vel
109.2856532500,-37.0974711667,-10.0500000000,6.4700000000,2.7,1.0000,0.7750,0.5548,* pi. Pup
262.6909880117,-37.2958134753,-2.3700000000,-30.0900000000,2.7,0.4799,0.5868,1.0000,* ups Sco
161.6924492833,-49.4202602889,74.2000000000,-54.9000000000,2.7,0.8000,0.8000,0.8000,* mu. Vel A
296.5649178783,10.6132613300,16.9900000000,-2.9800000000,2.72,1.0000,0.7872,0.5797,* gam Aql
200.1492200650,-36.7123045812,-339.6150000000,-82.1810000000,2.73,0.8000,0.8000,0.8000,* iot Cen
245.9978597020,61.5142097609,-16.3940000000,57.0940000000,2.74,1.0000,0.8541,0.7277,* eta Dra
190.4151176201,-1.4494039525,-605.1760000000,85.7010000000,2.74,0.8823,0.8819,1.0000,* gam Vir
222.7196378750,-16.0417765278,-105.6800000000,-68.4000000000,2.75,0.8000,0.8000,0.8000,* alf02 Lib
243.5864105417,-3.6943225556,-47.5400000000,-142.7300000000,2.75,1.0000,0.6789,0.3823,* del Oph
265.8681360342,4.5673043011,-41.4500000000,159.3400000000,2.75,1.0000,0.7992,0.6045,* bet Oph
183.7863196854,-58.7489269267,-35.8100000000,-10.3600000000,2.752,0.4799,0.5868,1.0000,* del Cru
160.7391748642,-64.3944502211,-18.3600000000,12.0300000000,2.76,0.4509,0.5617,1.0000,* tet Car
233.7852014583,-41.1667568611,-15.6200000000,-25.4300000000,2.765,0.4799,0.5868,1.0000,* gam Lup
83.8582579471,-5.9099009825,1.4200000000,-0.4600000000,2.77,0.8000,0.8000,0.8000,* iot Ori
247.5549981108,21.4896113272,-99.1500000000,-15.3900000000,2.77,0.8000,0.8000,0.8000,* bet Her
76.9624395417,-5.0864459722,-82.8200000000,-75.3900000000,2.79,0.6703,0.7362,1.0000,* bet Eri
195.5441577067,10.9591504008,-273.8000000000,19.9600000000,2.79,1.0000,0.8541,0.7277,* eps Vir
6.4377931667,-77.2542461111,2219.5400000000,324.0900000000,2.79,1.0000,0.9019,0.8473,* bet Hyi
83.7920833333,9.8130555556,1.1940000000,-2.1180000000,2.8,0.8000,0.8000,0.8000,Cl Collinder 69
250.3215043333,31.6027186944,-461.5200000000,342.2800000000,2.8,1.0000,0.9019,0.8473,* zet Her
262.6081737329,52.3013887086,-15.8900000000,12.2800000000,2.81,1.0000,0.8929,0.8238,* bet Dra
121.8860367646,-24.3043244294,-83.3500000000,46.2300000000,2.81,0.9937,0.9526,1.0000,* rho Pup
248.9706368875,-28.2160170875,-9.8900000000,-22.8300000000,2.81,0.4509,0.5617,1.0000,* tau Sco
276.9926696604,-25.4216984969,-44.7600000000,-185.6600000000,2.81,1.0000,0.8221,0.6541,* lam Sgr
334.6253949308,-60.2595906408,-70.7200000000,-39.4400000000,2.82,1.0000,0.7872,0.5797,* alf Tuc
190.3793073208,-48.9599123167,-193.6000000000,-11.6000000000,2.82,0.6324,0.7081,1.0000,* gam Cen A
326.7601843313,-16.1272870853,261.7000000000,-296.7000000000,2.83,0.8000,0.8000,0.8000,* del Cap
82.0613464950,-20.7594410531,-5.0200000000,-86.0100000000,2.84,1.0000,0.8740,0.7760,* bet Lep
3.3089634617,15.1835935442,1.9800000000,-9.2800000000,2.84,0.4799,0.5868,1.0000,* gam Peg
29.6924777913,-61.5698596606,263.6600000000,26.7700000000,2.84,0.8668,0.8718,1.0000,* alf Hyi
58.5330103129,31.8836336839,5.7700000000,-9.9200000000,2.85,0.4701,0.5784,1.0000,* zet Per
238.7856752650,-63.4307265364,-188.6600000000,-401.8500000000,2.85,0.8823,0.8819,1.0000,* bet TrA
261.3249491888,-55.5298816878,-8.0390000000,-25.9270000000,2.85,1.0000,0.8330,0.6787,* bet Ara
296.2436605888,45.1308100183,44.0700000000,48.6600000000,2.87,0.6109,0.6919,1.0000,* del Cyg
56.8711523038,24.1051356519,19.3400000000,-43.6700000000,2.87,0.5370,0.6340,1.0000,* eta Tau
95.7401119167,22.5135827500,56.3900000000,-110.0300000000,2.87,1.0000,0.6318,0.3112,* mu. Gem
194.0069425713,38.3183761417,-235.0800000000,53.5400000000,2.88,0.6109,0.6919,1.0000,* alf02 CVn
287.4409705250,-21.0236139819,-1.3600000000,-36.4500000000,2.88,0.8986,0.8925,1.0000,* pi. Sgr
250.3227706000,31.6019369000,~,~,2.88,0.8000,0.8000,0.8000,* zet Her A
190.3792307083,-48.9595768500,-193.6000000000,-11.6000000000,2.88,0.6109,0.6919,1.0000,* gam Cen B
59.4634668633,40.0102153175,14.0600000000,-23.7800000000,2.89,0.4701,0.5784,1.0000,* eps Per
111.7876739054,8.2893157625,-51.7600000000,-38.2900000000,2.89,0.5496,0.6441,1.0000,* bet CMi
322.8897154783,-5.5711755572,18.7700000000,-8.2100000000,2.89,1.0000,0.9019,0.8473,* bet Aqr
245.2971488058,-25.5927920767,-10.6000000000,-16.2800000000,2.89,0.8000,0.8000,0.8000,* sig Sco
229.7274249308,-68.6795459339,-66.5800000000,-32.3100000000,2.89,0.6324,0.7081,1.0000,* gam TrA
239.7129718242,-26.1141079450,-11.4200000000,-26.8300000000,2.91,0.4701,0.5784,1.0000,* pi. Sco
46.1991280875,53.5064357569,0.5100000000,-5.9200000000,2.93,0.8000,0.8000,0.8000,* gam Per
102.4840352479,-50.6145676878,34.3600000000,-69.1100000000,2.93,1.0000,0.8221,0.6541,* tau Pup
59.5073622871,-13.5085193806,61.5700000000,-113.1100000000,2.94,1.0000,0.6789,0.3823,* gam Eri
331.4459830479,0.3198491017,18.2500000000,-9.3900000000,2.94,1.0000,0.8929,0.8238,* alf Aqr
187.4660631842,-16.5154312617,-210.4900000000,-138.7400000000,2.94,0.6109,0.6919,1.0000,* del Crv
340.7505368540,30.2212147137,19.9570000000,-18.9710000000,2.95,1.0000,0.8541,0.7277,* eta Peg
262.9603813675,-49.8761450114,-33.2700000000,-67.2200000000,2.95,0.4799,0.5868,1.0000,* alf Ara
