C.D.S.  -  SIMBAD4 rel 1.8  -  2023.04.08CEST13:52:47

Vmag <= 6.5
-----------

Number of objects : 9071

 #  ;                              identifier                              ;typ;       coord1 (ICRS,J2000/2000)        ;        coord2 (FK5,J2000/2000)        ;        coord3 (FK4,B1950/1950)        ;      coord4 (Gal,J2000/2000)      ;         pm         ;   plx    ;     rv/z     ;   radvel   ;  redshift  ;     cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib ;#not
4938;HIP 44825                          HD 78234                           ;PM*;09 08 04.1559088368 +32 32 25.449941580;09 08 04.1570801511 +32 32 25.429717019;09 05 01.3513783308 +32 44 35.068528710;192.2828142524512 +41.7997433820685;-80.982 -22.087     ;9.5927    ;v    40.00    ;40.00       ;0.000133    ;40.00       ;6.840    ;6.820    ;6.460    ;     ~   ;     ~   ;F2V                  ;  49 ;   0
4939;HIP 28271                          * 59 Ori                           ;dS*;05 58 24.4430191896 +01 50 13.590173724;05 58 24.4445656101 +01 50 13.570337440;05 55 48.5412169424 +01 50 01.297155700;205.1443717911887 -10.9164945338644;   7.208 -7.999     ;9.3752    ;v    45.30    ;45.30       ;0.000151    ;45.30       ;     ~   ;6.116    ;5.886    ;     ~   ;     ~   ;A8V                  ;  81 ;   0
4940;HD 17240A                                                             ;PM*;02 47 03.574963 +35 33 16.86664        ;02 47 03.577486 +35 33 16.86017        ;02 43 58.545077 +35 20 47.66113        ;147.959440260 -21.636080206        ;    -39.8 -53.9     ;      ~   ;~            ~;~           ;~           ;~           ;     ~   ;6.70     ;6.38     ;     ~   ;     ~   ;~                    ;   1 ;   0
4941;HIP 61359                          * bet Crv                          ;PM*;12 34 23.2348393 -23 23 48.337453      ;12 34 23.2369728 -23 23 48.343476      ;12 31 45.3439996 -23 07 13.563660      ;297.8739450553 +39.3074748265      ;    1.11 -56.56     ;22.39     ;v    -7.34    ;-7.34       ;-0.000024   ;-7.34       ;4.17     ;3.52     ;2.64     ;2.03     ;1.59     ;G5IIBa0.3            ; 255 ;   0
4942;HIP 43899                          HD 76579                           ;V* ;08 56 34.1266027104 -16 42 31.496909112;08 56 34.1282760435 -16 42 31.517527239;08 54 14.7944070386 -16 30 55.756953650;243.4580547325544 +18.1512130552330; -9.006 -27.414     ;4.415     ;v    38.21    ;38.21       ;0.000127    ;38.21       ;     ~   ;7.483    ;5.929    ;     ~   ;     ~   ;K3III                ;  17 ;   0
4943;HIP 17506                          * 25 Eri                           ;PM*;03 44 56.4972471864 -00 17 48.194312640;03 44 56.4987674227 -00 17 48.205798454;03 42 22.9199346721 -00 27 09.826777159;187.4828841621148 -40.4852591937449;  58.848 -1.975     ;7.9863    ;v    66.12    ;66.12       ;0.000221    ;66.13       ;     ~   ;6.975    ;5.553    ;     ~   ;     ~   ;K3III                ;  45 ;   0
4944;HIP 13947                          HD 18735                           ;*  ;02 59 38.3049627144 -32 30 25.914797892;02 59 38.3056177072 -32 30 25.922402285;02 57 34.5686599513 -32 42 19.587795315;231.7324812269582 -61.7875853456772;    7.648 9.722     ;8.258     ;v    16.50    ;16.50       ;0.000055    ;16.50       ;     ~   ;6.309    ;6.302    ;     ~   ;     ~   ;A0V                  ;  42 ;   0
4945;HIP 31697                          HD 47240                           ;Pu*;06 37 52.7038930896 +04 57 24.003132228;06 37 52.7054527237 +04 57 23.982006233;06 35 13.2243036157 +05 00 03.098742464;206.9757733143549 -00.7465947306988;   -1.047 0.345     ;0.2143    ;v    33.00    ;33.00       ;0.000110    ;33.00       ;5.65     ;6.35     ;6.20     ;5.98     ;5.87     ;B1Ib                 ; 155 ;   0
4946;HIP 18805                          HD 25330                           ;** ;04 01 46.1346146632 +09 59 52.859928388;04 01 46.1363497344 +09 59 52.847107235;03 59 02.2295715873 +09 51 33.220975684;180.7559830373581 -30.7996171163662;    7.199 0.639     ;6.4553    ;v     2.7     ;2.7         ;0.000009    ;2.70        ;     ~   ;5.685    ;5.691    ;     ~   ;     ~   ;B5V                  ;  54 ;   0
4947;HIP 31099                          V* SX Col                          ;LP?;06 31 34.9477562544 -36 56 24.085320864;06 31 34.9489681151 -36 56 24.106282268;06 29 50.9716489303 -36 54 13.780500761;245.2293264210185 -19.6082154116451;   0.934 71.270     ;3.5499    ;v    54.55    ;54.55       ;0.000182    ;54.55       ;     ~   ;7.852    ;6.278    ;     ~   ;     ~   ;M2/3III              ;  31 ;   0
4948;HIP 17531                          * q Tau                            ;*  ;03 45 12.4957802 +24 28 02.209730      ;03 45 12.4978715 +24 28 02.198223      ;03 42 13.5818804 +24 18 42.815749      ;165.9838879666 -23.5345900745      ;   21.24 -40.56     ;7.97      ;v     5.66    ;5.66        ;0.000019    ;5.66        ;3.73     ;4.19     ;4.30     ;4.30     ;4.40     ;B6IV                 ; 272 ;   0
4949;HIP 46701                          * N Vel                            ;V* ;09 31 13.3189137 -57 02 03.757780      ;09 31 13.3215044 -57 02 03.777059      ;09 29 42.0805491 -56 48 47.515880      ;278.2086599959 -04.1078024026      ;    -32.54 5.87     ;13.65     ;v   -13.90    ;-13.90      ;-0.000046   ;-13.90      ;     ~   ;4.691    ;3.139    ;     ~   ;     ~   ;K5III                ;  96 ;   0
4950;Cl Bochum 10                                                          ;OpC;10 42 14.2 -59 08 44                   ;10 42 14.2 -59 08 44                   ;10 40 18.0 -58 53 00                   ;287.0263 -00.3232                  ;     -5.09 3.48     ;0.378     ;v     0.943   ;0.943       ;0.000003    ;0.94        ;     ~   ;6.40     ;6.2      ;     ~   ;     ~   ;~                    ;  80 ;   0
4951;HIP 99473                          * tet Aql                          ;SB*;20 11 18.2852804 -00 49 17.262642      ;20 11 18.2868041 -00 49 17.240987      ;20 08 43.5058272 -00 58 16.125164      ;041.5796367216 -18.0841799887      ;     35.26 5.71     ;11.39     ;v   -28.02    ;-28.02      ;-0.000093   ;-28.02      ;3.03     ;3.15     ;3.22     ;3.29     ;3.33     ;B9.5III              ; 198 ;   1
4952;HIP 56080                          * 85 Leo                           ;PM*;11 29 41.8437616752 +15 24 47.756565288;11 29 41.8449478291 +15 24 47.744921198;11 27 05.6434880376 +15 41 22.853145677;240.4536615975285 +67.6948346910562;-31.040 -49.515     ;7.028     ;v   -28.52    ;-28.52      ;-0.000095   ;-28.52      ;     ~   ;7.120    ;5.734    ;     ~   ;     ~   ;K4III                ;  25 ;   0
4953;HIP 95154                          V* UX Dra                          ;C* ;19 21 35.5182299784 +76 33 34.557161688;19 21 35.5193121301 +76 33 34.578985550;19 23 22.4531385820 +76 27 41.641874584;108.2509654324650 +24.6047705007865;  -6.351 -0.287     ;2.1294    ;v     4.80    ;4.80        ;0.000016    ;4.80        ;     ~   ;8.81     ;5.94     ;     ~   ;     ~   ;C-N5                 ; 198 ;   0
4954;HIP 50335                          * zet Leo                          ;V* ;10 16 41.4159679 +23 25 02.322080      ;10 16 41.4170919 +23 25 02.305219      ;10 13 54.7634119 +23 40 01.994947      ;210.2277644514 +54.9549666361      ;    18.39 -6.84     ;11.90     ;v   -21.40    ;-21.40      ;-0.000071   ;-21.40      ;3.89     ;3.72     ;3.41     ;3.09     ;2.91     ;F0IIIa               ; 225 ;   0
4955;HIP 56452                          * 20 Crt                           ;PM*;11 34 29.4864443348 -32 49 52.822793411;11 34 29.4887782325 -32 49 52.834047442;11 32 03.3831566881 -32 33 58.331462192;284.7773272711046 +27.3133296820740;-670.230 822.399    ;104.6133  ;v   -22.021   ;-22.021     ;-0.000073   ;-22.02      ;     ~   ;6.79     ;5.98     ;7.17     ;     ~   ;K0V                  ; 218 ;   0
4956;HIP 7679                           HD 10148                           ;PM*;01 38 51.7885512672 -21 16 31.385508240;01 38 51.7895098963 -21 16 31.385562401;01 36 28.3995292505 -21 31 46.004479864;187.0456094129829 -77.7130330627992; 128.729 36.873     ;13.8981   ;v    15.50    ;15.50       ;0.000052    ;15.50       ;     ~   ;5.92     ;5.58     ;     ~   ;     ~   ;F0V                  ;  51 ;   0
4957;HIP 83738                          HD 154660                          ;*  ;17 06 52.9563364728 -01 39 22.271274612;17 06 52.9578890226 -01 39 22.253996963;17 04 17.2186586145 -01 35 25.391129949;018.7646059327543 +22.2556288049912; 35.322 -22.918     ;12.4619   ;v     6.60    ;6.60        ;0.000022    ;6.60        ;     ~   ;6.558    ;6.351    ;     ~   ;     ~   ;A5V                  ;  50 ;   0
4958;HIP 10215                          HD 13456                           ;PM*;02 11 22.2261677208 -10 03 07.779274956;02 11 22.2274384808 -10 03 07.782421900;02 08 55.0134526213 -10 17 04.286778324;174.5418605409178 -64.5759152585083;-27.612 -170.791    ;19.9768   ;v    15.488200;15.488200   ;0.000052    ;15.49       ;     ~   ;6.398    ;5.999    ;     ~   ;     ~   ;F3V                  ;  68 ;   0
4959;HIP 73624                          HD 132955                          ;*  ;15 02 59.2764966384 -32 38 35.849039748;15 02 59.2788947146 -32 38 35.841136303;14 59 55.2426497464 -32 26 50.419134161;332.6044679990760 +22.5411818727730;-20.804 -22.035     ;6.8168    ;v     6.3     ;6.3         ;0.000021    ;6.30        ;4.69     ;5.319    ;5.437    ;     ~   ;     ~   ;B3V                  ;  93 ;   0
4960;HIP 49870                          HD 88161                           ;** ;10 10 58.9706874360 +40 39 41.785530768;10 10 58.9714396834 +40 39 41.768328010;10 07 58.5353290661 +40 54 29.391962153;180.0989798887971 +54.4317551571597;   -8.825 2.904     ;4.5101    ;v    12.15    ;12.15       ;0.000041    ;12.15       ;     ~   ;7.580    ;6.335    ;     ~   ;     ~   ;K3III:               ;  20 ;   0
4961;HIP 33077                          HD 50644                           ;PM*;06 53 18.8121844896 -19 01 57.699205248;06 53 18.8136130180 -19 01 57.720667077;06 51 07.6783928854 -18 58 11.031154597;230.1949625713126 -08.1528532421853; -53.127 -6.118     ;11.0392   ;v    27.30    ;27.30       ;0.000091    ;27.30       ;     ~   ;5.910    ;5.648    ;     ~   ;     ~   ;A9/F0III             ;  31 ;   0
4962;HIP 22531                          * iot Pic A                        ;PM*;04 50 55.3296563952 -53 27 41.529115332;04 50 55.3298697568 -53 27 41.545416745;04 49 48.3412778392 -53 32 45.827502802;261.2741773447363 -39.2221027288517;-100.273 85.659     ;22.7332   ;v     8.60    ;8.60        ;0.000029    ;8.60        ;     ~   ;5.86     ;5.57     ;     ~   ;5.18     ;F0V                  ;  50 ;   0
4963;HIP 45631                          * K Vel                            ;*  ;09 18 05.8712167824 -51 03 03.083892552;09 18 05.8735047507 -51 03 03.103732322;09 16 25.9346566910 -50 50 23.690319501;272.6432883232288 -01.1768985949013; -20.600 15.405     ;6.5299    ;v    57.00    ;57.00       ;0.000190    ;57.01       ;4.82     ;5.184    ;5.254    ;     ~   ;     ~   ;B7/8III              ;  31 ;   0
4964;HIP 15627                          * tau01 Ari                        ;EB*;03 21 13.6235710930 +21 08 49.460894275;03 21 13.6256060795 +21 08 49.451393681;03 18 20.0937157037 +20 58 05.609452674;163.6572596096943 -29.6360312525956; 26.574 -21.335     ;6.3728    ;v    14.70    ;14.70       ;0.000049    ;14.70       ;4.68     ;5.260    ;5.355    ;     ~   ;     ~   ;B5IV                 ; 109 ;   0
4965;HIP 30728                          HD 45415                           ;*  ;06 27 20.4505611720 +02 54 29.836279548;06 27 20.4521104186 +02 54 29.815437956;06 24 43.4695674013 +02 56 22.742455069;207.5854093803589 -04.0225007003917; -43.751 13.052     ;10.7647   ;v    52.829   ;52.829      ;0.000176    ;52.83       ;     ~   ;6.576    ;5.543    ;     ~   ;     ~   ;G8III                ;  68 ;   0
4966;HIP 26727                          * zet Ori                          ;** ;05 40 45.52666 -01 56 33.2649          ;05 40 45.52817 -01 56 33.2840          ;05 38 14.05054 -01 58 02.9641          ;206.45218456 -16.58516461          ;      3.19 2.03     ;4.43      ;v    18.50    ;18.50       ;0.000062    ;18.50       ;0.50     ;1.56     ;1.77     ;1.85     ;2.05     ;O9.7Ib+B0III         ; 349 ;   0
4967;HIP 81966                          HD 150576                          ;*  ;16 44 39.7432126872 -53 09 08.338244688;16 44 39.7460770687 -53 09 08.322348009;16 40 42.0176651534 -53 03 35.985773086;333.7348947056388 -04.8466160036598; -10.724 -9.276     ;3.9484    ;v   -13.14    ;-13.14      ;-0.000044   ;-13.14      ;     ~   ;7.205    ;5.967    ;     ~   ;     ~   ;G8III                ;  16 ;   0
4968;HIP 109691                         HD 210890                          ;*  ;22 13 10.0162044672 +18 16 47.320484412;22 13 10.0180325430 +18 16 47.337557513;22 10 46.1788234571 +18 01 56.267072568;078.3117787895729 -30.5587968720517;  4.079 -36.656     ;4.215     ;v    13.66    ;13.66       ;0.000046    ;13.66       ;     ~   ;7.879    ;6.488    ;     ~   ;     ~   ;K2                   ;  11 ;   0
4969;HIP 69598                          HD 124433                          ;PM*;14 14 42.6603208608 -41 50 14.971681608;14 14 42.6631371096 -41 50 14.968219373;14 11 36.7710358076 -41 36 16.075029023;319.1358024038810 +18.3991741171140;-129.897 -18.529    ;7.4069    ;v   -36.69    ;-36.69      ;-0.000122   ;-36.69      ;     ~   ;6.535    ;5.613    ;     ~   ;     ~   ;G8III                ;  18 ;   0
4970;HIP 42010                          HD 72505                           ;PM*;08 33 45.0461058600 +13 15 26.322654420;08 33 45.0475501722 +13 15 26.301409921;08 30 58.9394566552 +13 25 46.931005496;212.1178614802435 +28.5923158986837;-30.669 -47.462     ;8.9337    ;v    30.72    ;30.72       ;0.000102    ;30.72       ;     ~   ;7.447    ;6.247    ;     ~   ;     ~   ;K0III                ;  45 ;   0
4971;HIP 99742                          * rho Aql                          ;PM*;20 14 16.6186826232 +15 11 51.386417088;20 14 16.6202712496 +15 11 51.408029923;20 11 57.7397869477 +15 02 38.579736228;056.2410247793756 -10.6137791465017;  55.446 57.339     ;20.9054   ;v   -23.0     ;-23.0       ;-0.000077   ;-23.00      ;     ~   ;5.006    ;4.946    ;     ~   ;     ~   ;A1Va                 ; 128 ;   0
4972;HIP 54673                          HD 97472                           ;*  ;11 11 29.5407823200 -71 26 10.286877048;11 11 29.5457917022 -71 26 10.299954523;11 09 38.2394714253 -71 09 51.133429130;295.0810624091238 -10.1042503035833;  -16.763 3.163     ;5.7416    ;v    26.70    ;26.70       ;0.000089    ;26.70       ;     ~   ;7.706    ;6.335    ;     ~   ;     ~   ;K2/3III              ;  18 ;   0
4973;HIP 77390                          CD-65 2007                         ;** ;15 47 53.05292 -65 26 32.2086          ;15 47 53.05714 -65 26 32.1968          ;15 43 18.13815 -65 17 15.4509          ;319.94329160 -08.57841475          ;  -29.88 -37.46     ;8.93      ;v   -29.70    ;-29.70      ;-0.000099   ;-29.70      ;5.86     ;5.76     ;5.53     ;     ~   ;     ~   ;A5                   ;  18 ;   0
4974;HIP 80112                          * sig Sco                          ;bC*;16 21 11.3157134 -25 35 34.051476      ;16 21 11.3177696 -25 35 34.037200      ;16 18 08.6678835 -25 28 28.268148      ;351.3130051710 +16.9989235145      ;  -10.60 -16.28     ;4.68      ;v    -0.4     ;-0.4        ;-0.000001   ;-0.40       ;2.32     ;3.02     ;2.89     ;1.69     ;1.58     ;B1III+B1:V           ; 858 ;   0
4975;HIP 85749                          HD 158837                          ;SB*;17 31 21.3359225688 +02 43 28.252026624;17 31 21.3374127207 +02 43 28.270636994;17 28 50.7943140585 +02 45 37.749436446;026.0285182638296 +19.0276516358003; -19.670 17.333     ;8.3288    ;v   -42.22    ;-42.22      ;-0.000141   ;-42.22      ;     ~   ;6.416    ;5.580    ;     ~   ;     ~   ;G8III+A/F            ;  61 ;   1
4976;HIP 68637                          HD 122866                          ;*  ;14 02 59.7575422632 +50 58 18.506780184;14 02 59.7572797185 +50 58 18.509133935;14 01 08.0999527904 +51 12 41.943002376;098.1055706270694 +62.5677624440381; -14.848 -5.439     ;10.3764   ;v    -9.50    ;-9.50       ;-0.000032   ;-9.50       ;     ~   ;6.16     ;6.15     ;     ~   ;     ~   ;A2V                  ;  43 ;   0
4977;HIP 100016                         HD 193217                          ;*  ;20 17 29.0565341184 +42 43 19.422976620;20 17 29.0582900207 +42 43 19.444539461;20 15 46.1821914811 +42 33 56.806967685;079.6851737837881 +03.9913155087730;   1.925 -0.503     ;1.3354    ;v   -19.06    ;-19.06      ;-0.000064   ;-19.06      ;     ~   ;7.909    ;6.273    ;     ~   ;     ~   ;K4+II-III            ;  41 ;   0
4978;HIP 13949                          HD 18482                           ;V* ;02 59 39.8786231400 +41 01 58.585315800;02 59 39.8813402127 +41 01 58.577709058;02 56 25.4470254399 +40 50 06.362533160;147.4995170173851 -15.6423687038179; 14.723 -46.981     ;4.5764    ;v    32.80    ;32.80       ;0.000109    ;32.80       ;     ~   ;7.326    ;5.877    ;     ~   ;     ~   ;K2                   ;  19 ;   0
4979;[SC96] Mis 814                                                        ;*  ;17 57 42.0 -39 08 00                   ;17 57 42.0 -39 08 00                   ;17 54 13.9 -39 07 42                   ;352.4536 -07.3190                  ;            ~ ~     ;      ~   ;~            ~;~           ;~           ;~           ;     ~   ;     ~   ;5.72     ;     ~   ;     ~   ;~                    ;   1 ;   0
4980;HD 125040A                                                            ;PM*;14 16 32.8432516152 +20 07 18.654243996;14 16 32.8442512342 +20 07 18.657879242;14 14 13.2763452651 +20 21 15.692187123;017.6975146305785 +69.3202735613053;-135.348 -95.322    ;30.2106   ;v    -6.90    ;-6.90       ;-0.000023   ;-6.90       ;     ~   ;6.87     ;6.41     ;7.27     ;     ~   ;~                    ;   5 ;   0
4981;HIP 65892                          * 72 Vir                           ;V* ;13 30 25.7237418000 -06 28 12.957454488;13 30 25.7254338113 -06 28 12.958205480;13 27 48.9951748563 -06 12 46.094225138;320.0324111281088 +55.1016643187125;  44.704 11.518     ;18.1186   ;v    -9.00    ;-9.00       ;-0.000030   ;-9.00       ;     ~   ;6.419    ;6.098    ;     ~   ;     ~   ;F0IV                 ;  40 ;   0
4982;HIP 14086                          * eps For                          ;PM*;03 01 37.6288785045 -28 05 29.373792325;03 01 37.6296774307 -28 05 29.381574475;02 59 28.2274036556 -28 16 54.419797749;222.4981652363465 -61.2289242975168;273.108 -443.074    ;31.3128   ;v    40.72    ;40.72       ;0.000136    ;40.72       ;     ~   ;6.68     ;5.85     ;     ~   ;     ~   ;G9:V                 ; 179 ;   0
4983;HIP 113084                         HD 216646                          ;PM*;22 54 06.9827802864 +40 22 36.733241532;22 54 06.9852425467 +40 22 36.747610316;22 51 49.0502389651 +40 06 35.423605376;099.9381543328987 -17.1988385072195; 106.719 36.111     ;10.5059   ;v    -7.81    ;-7.81       ;-0.000026   ;-7.81       ;     ~   ;6.953    ;5.805    ;     ~   ;     ~   ;K0III                ;  39 ;   0
4984;HIP 27325                          HD 38885                           ;PM*;05 47 18.6863446632 -35 40 26.666732064;05 47 18.6873837773 -35 40 26.686098016;05 45 32.8718302710 -35 41 29.080682923;241.0225615342372 -27.7478573741962;  -4.494 60.199     ;5.7299    ;v    57.55    ;57.55       ;0.000192    ;57.56       ;     ~   ;7.503    ;6.282    ;     ~   ;     ~   ;K1III                ;  21 ;   0
4985;HIP 109602                         HD 210762                          ;*  ;22 12 08.0937068712 +24 57 02.313215568;22 12 08.0956556772 +24 57 02.330350129;22 09 48.4403602575 +24 42 11.323046322;082.9690201420990 -25.3004739119122;    9.895 2.458     ;1.7704    ;v    -8.69    ;-8.69       ;-0.000029   ;-8.69       ;     ~   ;7.432    ;5.923    ;     ~   ;     ~   ;K0                   ;  29 ;   0
4986;HIP 69896                          * eta Aps                          ;PM*;14 18 13.8958998144 -81 00 27.930594204;14 18 13.9065054391 -81 00 27.926800479;14 11 48.9447775437 -80 46 31.045406785;306.4302633287671 -18.7313021382889;-19.981 -65.222     ;22.9229   ;v    -9.4     ;-9.4        ;-0.000031   ;-9.40       ;     ~   ;5.130    ;4.889    ;     ~   ;     ~   ;A2mA7-F2             ;  52 ;   0
4987;HIP 98421                          * tet02 Sgr                        ;PM*;19 59 51.3570446040 -34 41 52.078169184;19 59 51.3584763931 -34 41 52.056383982;19 56 36.7877587423 -34 50 03.082549401;006.1653505879810 -28.3448608430695;108.519 -69.521     ;20.5076   ;v   -17.60    ;-17.60      ;-0.000059   ;-17.60      ;     ~   ;5.465    ;5.299    ;     ~   ;     ~   ;A4/5IV               ;  39 ;   0
4988;HIP 25194                          V* SW Col                          ;AB?;05 23 24.0245424768 -39 40 42.309563988;05 23 24.0253972576 -39 40 42.327763712;05 21 44.9147328535 -39 43 25.703234555;244.4000645037536 -33.2185434354009;   26.563 6.582     ;5.3647    ;v    62.43    ;62.43       ;0.000208    ;62.44       ;     ~   ;7.40     ;5.77     ;     ~   ;     ~   ;M2III                ;  37 ;   0
4989;HIP 97970                          HD 188385                          ;*  ;19 54 40.2000108672 +07 08 25.271100132;19 54 40.2015505792 +07 08 25.292926264;19 52 13.6203160538 +07 00 29.165514081;046.6967214021880 -10.5962414797381;  28.410 -0.093     ;12.6651   ;v   -16.0     ;-16.0       ;-0.000053   ;-16.00      ;     ~   ;6.165    ;6.127    ;     ~   ;     ~   ;A2V                  ;  43 ;   0
4990;HIP 73464                          HD 132879                          ;*  ;15 00 52.2768674928 +22 02 44.115219564;15 00 52.2778413482 +22 02 44.122934221;14 58 37.7264488773 +22 14 33.171250641;030.2816052146778 +60.2238853147807;   -4.533 5.903     ;4.6096    ;v   -26.48    ;-26.48      ;-0.000088   ;-26.48      ;8.650    ;7.450    ;6.260    ;     ~   ;     ~   ;K0                   ;  18 ;   0
4991;HIP 54749                          HD 97428                           ;*  ;11 12 34.7990026272 -21 44 57.614636796;11 12 34.8009975525 -21 44 57.627630866;11 10 06.5890485203 -21 28 38.072996985;274.4080640837928 +35.5879832319523;   10.937 5.860     ;4.3132    ;v   -23.48    ;-23.48      ;-0.000078   ;-23.48      ;     ~   ;7.755    ;6.378    ;     ~   ;     ~   ;K3III                ;  18 ;   0
4992;HIP 26712                          HD 37519                           ;V* ;05 40 35.9073397656 +31 21 29.518273512;05 40 35.9093031716 +31 21 29.499214217;05 37 21.6664194580 +31 19 58.113447888;177.3690028545927 +00.3496092632496;  -5.014 -7.671     ;4.1237    ;v   -10.20    ;-10.20      ;-0.000034   ;-10.20      ;5.88     ;6.09     ;6.04     ;5.93     ;5.88     ;B9.5III-IVp:(Hg?)    ;  62 ;   0
4993;HIP 101692                         * 70 Aql                           ;*  ;20 36 43.6331948352 -02 32 59.836714368;20 36 43.6347051172 -02 32 59.815539753;20 34 07.4211744767 -02 43 27.870397556;043.2114775222723 -24.4900427201454; 10.862 -15.416     ;4.0825    ;v    -9.27    ;-9.27       ;-0.000031   ;-9.27       ;     ~   ;6.475    ;4.880    ;     ~   ;     ~   ;K4+IIIBa1            ;  77 ;   0
4994;HD 100493B                                                            ;PM*;11 33 37.201802 -40 35 11.87361        ;11 33 37.204398 -40 35 11.88494        ;11 31 10.658838 -40 18 38.05866        ;287.325993405 +19.915112658        ;     -82.6 27.3     ;      ~   ;~            ~;~           ;~           ;~           ;     ~   ;6.28     ;6.14     ;     ~   ;     ~   ;~                    ;   0 ;   0
4995;HIP 54289                          HD 96568                           ;*  ;11 06 24.2536530672 -64 50 23.899090308;11 06 24.2576279817 -64 50 23.912554030;11 04 24.2554281163 -64 34 09.353509130;292.0606700601013 -04.2087660112205; -47.871 -6.610     ;6.7212    ;v    -3.00    ;-3.00       ;-0.000010   ;-3.00       ;     ~   ;6.490    ;6.381    ;7.59     ;8.43     ;A3V                  ;  38 ;   0
4996;HIP 4104                           HD 5098                            ;PM*;00 52 40.6245885024 -24 00 21.035123352;00 52 40.6254783204 -24 00 21.030796463;00 50 13.3966787415 -24 16 40.024520776;128.1138057187720 -86.8651150856546;  37.140 34.298     ;6.0619    ;v    37.09    ;37.09       ;0.000124    ;37.09       ;     ~   ;6.76     ;5.48     ;     ~   ;     ~   ;K1III                ;  41 ;   0
4997;HIP 61937                          * 27 Vir                           ;dS*;12 41 34.3919383824 +10 25 34.568504040;12 41 34.3932047979 +10 25 34.563143392;12 39 03.1749006813 +10 42 01.276644336;294.5432800046446 +73.1371452017648;-106.527 -0.231     ;13.9563   ;v     9.00    ;9.00        ;0.000030    ;9.00        ;     ~   ;6.408    ;6.215    ;     ~   ;     ~   ;A6Vp                 ;  71 ;   0
4998;HIP 97980                          * 58 Aql                           ;*  ;19 54 44.7948526968 +00 16 25.050363384;19 54 44.7963798631 +00 16 25.072188993;19 52 11.0949744527 +00 08 29.551134826;040.5461825083584 -13.9191111015491; 39.657 -13.766     ;6.255     ;v   -49.80    ;-49.80      ;-0.000166   ;-49.80      ;     ~   ;5.703    ;5.631    ;     ~   ;     ~   ;B9IV                 ; 212 ;   0
4999;HIP 2900                           V* V428 And                        ;LP*;00 36 46.4410654008 +44 29 18.920176764;00 36 46.4439737314 +44 29 18.925980457;00 34 02.8027177853 +44 12 47.208217095;120.1780884274418 -18.3047365377501; -37.121 32.293     ;4.724     ;v   -33.33    ;-33.33      ;-0.000111   ;-33.33      ;     ~   ;6.727    ;5.129    ;     ~   ;     ~   ;K6IIIa               ; 103 ;   0
5000;HIP 13954                          * lam Cet                          ;*  ;02 59 42.8998715 +08 54 26.489871      ;02 59 42.9016125 +08 54 26.482260      ;02 57 01.8641558 +08 42 33.662611      ;168.2059715356 -42.4140311280      ;    6.01 -17.70     ;5.66      ;v    10.2     ;10.2        ;0.000034    ;10.20       ;4.13     ;4.58     ;4.70     ;4.72     ;4.70     ;B6III                ;  98 ;   0
5001;HIP 25336                          * gam Ori                          ;V* ;05 25 07.86325 +06 20 58.9318          ;05 25 07.86487 +06 20 58.9135          ;05 22 26.83554 +06 18 21.8442          ;196.92784561 -15.95320119          ;   -8.11 -12.88     ;12.92     ;v    18.2     ;18.2        ;0.000061    ;18.20       ;0.54     ;1.42     ;1.64     ;1.73     ;1.95     ;B2V                  ; 516 ;   0
5002;HIP 81377                          * zet Oph                          ;Be*;16 37 09.5390545 -10 34 01.529471      ;16 37 09.5407746 -10 34 01.514075      ;16 34 24.1322284 -10 28 02.673486      ;006.2812353094 +23.5877348678      ;    15.26 24.79     ;8.91      ;v    -9.00    ;-9.00       ;-0.000030   ;-9.00       ;1.73     ;2.58     ;2.56     ;2.46     ;2.50     ;O9.2IVnn             ;1817 ;   2
5003;HIP 2388                           V* BB Phe                          ;dS*;00 30 27.8252358240 -40 56 22.504091136;00 30 27.8255520979 -40 56 22.497708800;00 28 01.4893766130 -41 12 57.692921818;318.9691326968437 -75.5288698751837;  -3.316 16.734     ;7.4361    ;v    -3.60    ;-3.60       ;-0.000012   ;-3.60       ;     ~   ;6.490    ;6.172    ;     ~   ;     ~   ;F0/2III              ;  53 ;   0
5004;HIP 2210                           * eta Scl                          ;LP*;00 27 55.6978213752 -33 00 25.797481668;00 27 55.6984447452 -33 00 25.790868173;00 25 27.0853603398 -33 16 59.002318842;342.3607175895932 -82.2293565622764;-20.070 -49.425     ;5.8984    ;v    12.10    ;12.10       ;0.000040    ;12.10       ;8.26     ;6.45     ;4.81     ;3.22     ;1.84     ;M2/3III              ;  59 ;   0
5005;HIP 97491                          HD 186756                          ;PM*;19 48 55.0881389136 -52 53 17.195265528;19 48 55.0895762507 -52 53 17.173407071;19 45 02.1696665664 -53 00 45.864583205;345.2721870224760 -29.7952293072159; 14.802 -48.522     ;4.3872    ;v   -20.22    ;-20.22      ;-0.000067   ;-20.22      ;     ~   ;7.38     ;6.25     ;     ~   ;     ~   ;K1III                ;  17 ;   0
5006;HIP 87833                          * gam Dra                          ;*  ;17 56 36.36988 +51 29 20.0242          ;17 56 36.37062 +51 29 20.0440          ;17 55 26.58320 +51 29 38.4896          ;079.05496371 +29.21733609          ;   -8.48 -22.79     ;21.14     ;v   -27.91    ;-27.91      ;-0.000093   ;-27.91      ;5.630    ;3.760    ;2.230    ;1.08     ;0.23     ;K5III                ; 546 ;   0
