C.D.S.  -  SIMBAD4 rel 1.8  -  2023.04.08CEST13:52:47

Vmag <= 6.5
-----------

Number of objects : 9071

 #  ;                              identifier                              ;typ;       coord1 (ICRS,J2000/2000)        ;        coord2 (FK5,J2000/2000)        ;        coord3 (FK4,B1950/1950)        ;      coord4 (Gal,J2000/2000)      ;         pm         ;   plx    ;     rv/z     ;   radvel   ;  redshift  ;     cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib ;#not
51  ;HIP 7918                           HD 10307                           ;SB*;01 41 47.1268541099 +42 36 48.221567818;01 41 47.1297226833 +42 36 48.221234652;01 38 43.7197839826 +42 21 48.301956067;132.7153946631206 -19.2998883860968;824.761 -156.423    ;68.0244   ;v     3.33    ;3.33        ;0.000011    ;3.33        ;5.69     ;5.58     ;4.96     ;4.43     ;4.10     ;G1V                  ; 492 ;   0
52  ;HIP 53141                          HD 94180                           ;*  ;10 52 13.6926747480 +01 01 29.901454320;10 52 13.6941818725 +01 01 29.886950059;10 49 39.5362648520 +01 17 27.165041848;250.3145491029867 +51.2894561962923;   2.248 -4.141     ;5.1852    ;v   -14.544900;-14.544900  ;-0.000049   ;-14.54      ;     ~   ;6.449    ;6.370    ;     ~   ;     ~   ;A2IV/V               ;  34 ;   0
53  ;HIP 98633                          * 63 Sgr                           ;*  ;20 01 58.5993568704 -13 38 13.975050768;20 01 58.6008470323 -13 38 13.953285519;19 59 10.5977908851 -13 46 37.876635709;028.2658208709309 -21.6864412585383;  36.999 11.169     ;10.9894   ;v   -39.40    ;-39.40      ;-0.000131   ;-39.40      ;     ~   ;5.753    ;5.690    ;     ~   ;     ~   ;A1IV                 ;  38 ;   0
54  ;HIP 61496                          V* TU Crv                          ;dS*;12 35 58.7960250624 -20 31 38.916008868;12 35 58.7980778810 -20 31 38.921885629;12 33 21.1890459516 -20 15 05.448936111;298.0445101415645 +42.1975316483641; 30.202 -51.280     ;13.2558   ;v    -2.00    ;-2.00       ;-0.000007   ;-2.00       ;     ~   ;6.518    ;6.184    ;     ~   ;     ~   ;F0V                  ;  65 ;   0
55  ;HIP 21444                          * nu. Eri                          ;bC*;04 36 19.1414419 -03 21 08.856678      ;04 36 19.1429076 -03 21 08.872017      ;04 33 49.0997502 -03 27 11.639392      ;199.3117563767 -31.3760588816      ;     1.53 -5.01     ;4.83      ;v    14.9     ;14.9        ;0.000050    ;14.90       ;2.82     ;3.737    ;3.928    ;     ~   ;     ~   ;B2III                ; 386 ;   0
56  ;* iot Tri A                                                           ;SB*;02 12 22.2796929264 +30 18 11.053179828;02 12 22.2820627440 +30 18 11.049938344;02 09 27.7643683790 +30 04 11.027463888;142.9750947699548 -29.3993827508027;-64.350 -59.503     ;11.3011   ;v   -18.1     ;-18.1       ;-0.000060   ;-18.10      ;     ~   ;6.03     ;5.162    ;     ~   ;     ~   ;G5III                ;  13 ;   0
57  ;HIP 46950                          * L Vel                            ;*  ;09 34 08.7932661 -51 15 18.953593      ;09 34 08.7956731 -51 15 18.972738      ;09 32 24.6501106 -51 01 55.369997      ;274.5950083536 +00.4245623880      ;     -8.55 7.08     ;3.61      ;v    35.00    ;35.00       ;0.000117    ;35.00       ;4.04     ;5.01     ;5.03     ;     ~   ;     ~   ;B2IV                 ;  62 ;   0
58  ;HIP 104060                         * ksi Cyg                          ;SB*;21 04 55.8622910 +43 55 40.264460      ;21 04 55.8643363 +43 55 40.284797      ;21 03 06.5907084 +43 43 39.365179      ;085.9294399763 -02.0779370551      ;      7.97 0.06     ;3.87      ;v   -19.10    ;-19.10      ;-0.000064   ;-19.10      ;7.17     ;5.39     ;3.73     ;2.55     ;1.63     ;K4.5Ib-II            ; 305 ;   0
59  ;HIP 90037                          HD 168592                          ;PM*;18 22 18.5733983520 -38 39 24.826092840;18 22 18.5753048635 -38 39 24.805402619;18 18 51.7072176026 -38 40 53.247662565;355.1214209947331 -11.3463482551209;-41.570 -29.379     ;6.7176    ;v    17.8     ;17.8        ;0.000059    ;17.80       ;     ~   ;6.579    ;5.073    ;     ~   ;     ~   ;K4/5III              ;  29 ;   0
60  ;HIP 83692                          HD 154733                          ;PM*;17 06 18.0468410496 +22 05 02.953974156;17 06 18.0480033247 +22 05 02.971217661;17 04 11.0033706441 +22 09 01.966556593;042.9990107082629 +32.4545057222577;-98.351 -37.904     ;9.2856    ;v   -96.480   ;-96.480     ;-0.000322   ;-96.46      ;     ~   ;6.871    ;5.565    ;     ~   ;     ~   ;K3III                ; 105 ;   0
